,1,2,3,4,7,,9,10,17,19,20,,32,,49,,,,42,45,,,24,,
,Identification,,,,Learner,,,,Study Design,,,,Treatment,,,,,,Methodology,,,,,,
Independent effect sizes (k),Author,Year of publication,Title,Type of publication,Age,Basic vocab,L1,L2,Pretest,Lapse (preT-treat),Lapse (treat-post1),Lapse (treat-post2),Spacing,Type of spacing/massing,Mode,Visual aid,Engagement,Range in encounters,Nonword use,CompTest announcement,Test format,Test reliability,N,ES1 (r),ES2 (r)
26,Pellicer‐Sánchez & Serrano (2017)_sample 2,2017,Incidental vocabulary acquisition in French as a foreign language,Conference presentation,Primary,cannot tell,Spanish,English,Yes,11,10,120,Spaced,Controlled multiple exposures over time,RWL,No,Yes,46,No,No,Recognition,reported,47,0.023,not reported
27,Reynolds (2018)_sample 1,2018,"The effects of nonce words, frequency, contextual richness, and L2 vocabulary knowledge on the incidental acquisition of vocabulary through reading: More than a replication of Zahar et al. (2001) & Tekmen and Daloğlu (2006)",Journal Article,University,cannot tell,Chinese,English,Yes,14,0,no test,Massed,Repeated exposures within a single day,Reading ,No,No,13,Yes,No,Recognition,not reported,79,0.511,no test
28,Reynolds (2018)_sample 2,2018,"The effects of nonce words, frequency, contextual richness, and L2 vocabulary knowledge on the incidental acquisition of vocabulary through reading: More than a replication of Zahar et al. (2001) & Tekmen and Daloğlu (2006)",Journal Article,University,cannot tell,Chinese,English,Yes,14,0,no test,Massed,Repeated exposures within a single day,Reading ,No,No,13,Yes,No,Recognition,not reported,88,0.633,no test
27,Rodgers (2013)_sample 1,2013,"English language learning through viewing television: An investigation of comprehension, incidental vocabulary acquisition, lexical coverage, attitudes, and captions",PhD thesis,University,0.69,Japanese,English,Yes,7,7,no test,Spaced,Controlled multiple exposures over time,Viewing,Yes,No,49,No,No,Recognition,not reported,187,0.3,no test
28,Rodgers (2013)_sampe 2,2013,"English language learning through viewing television: An investigation of comprehension, incidental vocabulary acquisition, lexical coverage, attitudes, and captions",PhD thesis,University,0.66,Japanese,English,Yes,7,7,no test,Spaced,Controlled multiple exposures over time,Viewing,Yes,No,49,No,No,Recognition,not reported,40,0.392,no test
29,Tekmen & Daloğlu (2006)_sample 1,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.5,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,33,0.477,not reported
30,Tekmen & Daloğlu (2006)_sample 2,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.61,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,32,0.563,not reported
31,Tekmen & Daloğlu (2006)_sample 3,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.79,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,34,0.539,not reported
32,Vidal (2003),2003,Academic listening: a source of vocabulary acquisition,Journal Article,University,cannot tell,Spanish,English,Yes,cannot tell,0,no test,Massed,Single exposure,Listening,No,Yes,5,No,No,VKS,reported,116,0.343,no test
33,Vidal (2011)_sample 1,2011,A comparison of the effects of reading and listening on incidental vocabulary acquisition,Journal Article,University,cannot tell,Spanish,English,Yes,cannot tell,0,one month,Massed,Single exposure,Listening,No,No,5,No,Yes,VKS,reported,112,0.687,not reported
34,Vidal (2011)_sample 2,2011,A comparison of the effects of reading and listening on incidental vocabulary acquisition,Journal Article,University,cannot tell,Spanish,English,Yes,cannot tell,0,one month,Massed,Single exposure,Reading ,No,No,5,No,Yes,VKS,reported,80,0.488,not reported
35,Webb & Chang (2015),2015,Second language vocabulary learning through extensive reading with audio support: How do frequency and distibution of occurrence affect learning?,Journal Article,Secondary,cannot tell,Chinese,English,Yes,7,7,97,Spaced,Controlled multiple exposures over time,RWL,No,Yes,69,No,No,Recognition,not reported,61,-0.03,-0.17
36,Van Zeeland & Schmitt (2013)_average_sample 1,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,0,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Average ,not reported,20,0.2845,no test
,Van Zeeland & Schmitt (2013)_sample 1.1,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,0,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Recognition,not reported,20,0.376,no test
,Van Zeeland & Schmitt (2013)_sample 1.2,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,0,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Recall,not reported,20,0.193,no test
37,Van Zeeland & Schmitt (2013)_average_sample 2,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,14,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Average ,not reported,10,0.20350000000000001,no test
,Van Zeeland & Schmitt (2013)_sample 2.1,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,14,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Recognition,not reported,10,0.376,no test
,Van Zeeland & Schmitt (2013)_sample 2.2,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,cannot tell,mix,English,Nonword,no pretest,14,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Recall,not reported,10,0.031,no test
38,Wenzhong & Feng (2009),2009,Effects of word exposure frequency on incidental acquistion of English vocabulary by Chinese EFL learners,Journal Article,University,cannot tell,Chinese,English,Nonword,no pretest,0,7,Massed,Repeated exposures within a single day,Reading ,No,No,8,Yes,Yes,Recall,not reported,32,0.634,not reported
39,Yang & Sun (2013),2013,It is more than knowledge seeking: examining the effects of OpenCourseWare lectures on vocabulary acquisition in English as a foreign language (EFL) context,Journal Article,University,cannot tell,Chinese,English,Yes,14,0,no test,Massed,Single exposure,Listening,Yes,Yes,7,No,Yes,VKS,reported,65,0.221,no test
40,"Zahar, Cobb, & Spada (2001)_sample 1",2001,Acquiring vocabulary through reading: effects of frequency and contextual richness,Journal Article,Secondary,0.5,French,English,Yes,13,2,no test,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,22,0.4,no test
41,"Zahar, Cobb, & Spada (2001)_sample 2",2001,Acquiring vocabulary through reading: effects of frequency and contextual richness,Journal Article,Secondary,0.61,French,English,Yes,13,2,no test,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,27,0.22,no test
42,"Zahar, Cobb, & Spada (2001)_sample 3",2001,Acquiring vocabulary through reading: effects of frequency and contextual richness,Journal Article,Secondary,0.72,French,English,Yes,13,2,no test,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,34,0.21,no test
43,"Zahar, Cobb, & Spada (2001)_sample 4",2001,Acquiring vocabulary through reading: effects of frequency and contextual richness,Journal Article,Secondary,0.83,French,English,Yes,13,2,no test,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,32,0.24,no test
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
